Active Weekly Options Summary as of 08/20/2014, , , , , 

      ,Weekly Options Summary for 08/29/2014 Expiration,          ,,      ,Weekly Options Summary for 08/22/2014 Expiration,          
SYMBOL,OPTION NAME,EFFECTIVE DATE,,SYMBOL,OPTION NAME,EFFECTIVE DATE
AA    ,ALCOA  INC                                        ,08/04/2011,,AA    ,ALCOA  INC                                        ,08/04/2011
AAL   ,AMERICAN AIRLINES GROUP  INC.                     ,12/18/2013,,AAL   ,AMERICAN AIRLINES GROUP  INC.                     ,12/18/2013
AAPL  ,APPLE INC                                         ,06/25/2010,,AAPL  ,APPLE INC                                         ,06/25/2010
AAPL7 ,APPLE  INC. (10-SHARE MINI OPTION)                ,03/18/2013,,AAPL7 ,APPLE  INC. (10-SHARE MINI OPTION)                ,03/18/2013
ABX   ,BARRICK GOLD CORP                                 ,10/06/2011,,ABX   ,BARRICK GOLD CORP                                 ,10/06/2011
ACN   ,ACCENTURE PLC                                     ,04/16/2012,,ACN   ,ACCENTURE PLC                                     ,04/16/2012
ACT   ,ACTAVIS PLC.                                      ,07/14/2014,,ACT   ,ACTAVIS PLC.                                      ,07/14/2014
ADM   ,ARCHER DANIELS MIDLAND CO                         ,11/25/2013,,ADM   ,ARCHER DANIELS MIDLAND CO                         ,11/25/2013
AET   ,AETNA  INC.                                       ,05/29/2012,,AET   ,AETNA  INC.                                       ,05/29/2012
AFSI  ,AMTRUST FINANCIAL SERVICES  INC.                  ,01/29/2014,,AFSI  ,AMTRUST FINANCIAL SERVICES  INC.                  ,01/29/2014
AGN   ,ALLERGAN  INC.                                    ,05/27/2014,,AGN   ,ALLERGAN  INC.                                    ,05/27/2014
AGNC  ,AMERICAN CAPITAL AGENCY CORPORATION               ,07/15/2013,,AGNC  ,AMERICAN CAPITAL AGENCY CORPORATION               ,07/15/2013
AGQ   ,PROSHARES ULTRA SILVER                            ,02/25/2013,,AGQ   ,PROSHARES ULTRA SILVER                            ,02/25/2013
AGU   ,AGRIUM INC.                                       ,09/04/2013,,AGU   ,AGRIUM INC.                                       ,09/04/2013
AIG   ,AMERICAN INTERNATIONAL GROUP                      ,12/23/2010,,AIG   ,AMERICAN INTERNATIONAL GROUP                      ,12/23/2010
AKAM  ,AKAMAI TECHNOLOGIES  INC                          ,12/04/2013,,AKAM  ,AKAMAI TECHNOLOGIES  INC                          ,12/04/2013
AKS   ,AK STEEL HOLDING CORP.                            ,03/26/2014,,AKS   ,AK STEEL HOLDING CORP.                            ,03/26/2014
ALXN  ,ALEXION PHARM                                     ,09/04/2013,,ALXN  ,ALEXION PHARM                                     ,09/04/2013
AMAT  ,APPLIED MATERIALS  INC.                           ,07/22/2014,,AMAT  ,APPLIED MATERIALS  INC.                           ,07/22/2014
AMBA  ,AMBARELLA INC                                     ,06/09/2014,,AMBA  ,AMBARELLA INC                                     ,06/09/2014
AMD   ,ADVANCED MICRO-DEVICES                            ,08/28/2013,,AMD   ,ADVANCED MICRO-DEVICES                            ,08/28/2013
AMGN  ,AMGEN                                             ,09/04/2013,,AMGN  ,AMGEN                                             ,09/04/2013
AMRN  ,AMARIN CORP. PLC                                  ,07/25/2012,,AMRN  ,AMARIN CORP. PLC                                  ,07/25/2012
AMT   ,AMERICAN TOWER CL A                               ,09/04/2013,,AMT   ,AMERICAN TOWER CL A                               ,09/04/2013
AMZN  ,AMAZON COM                                        ,07/15/2010,,AMZN  ,AMAZON COM                                        ,07/15/2010
